id,age,email,salary
100,33,user100@company.io,-100.0
101,39,user101@example.com,31325.0
102,26,user102@service.net,37992.0
103,35,,72044.0
104,48,user104@domain.com,26090.0
105,47,user105@example.com,85598.0
106,43,none@invalid,37966.0
107,64,user107@example.com,59654.0
108,29,user108@company.io,35733.0
109,29,user109@mail.org,-100.0
110,33,user110@mail.org,84209.0
111,-1,user111@domain.com,47404.0
112,50,user112@domain.com,43778.0
113,45,user113@domain.com,8291.0
114,32,user114@service.net,-1.0
115,25,,58435.0
116,-5,user116@example.com,51563.0
117,29,user117@domain.com,81818.0
118,200,user118@domain.com,40712.0
119,20,user119@service.net,75203.0
120,38,,60296.0
121,59,user121@example.com,43595.0
122,30,user122@company.io,45410.0
123,25,none@invalid,68939.0
124,32,user124@company.io,-100.0
125,45,user125@service.net,42851.0
126,31,user126@company.io,73498.0
127,30,user127@domain.com,-100.0
128,32,user128@mail.org,83763.0
129,35,user129@company.io,96221.0
130,130,user130@service.net,85764.0
131,49,user131@domain.com,64643.0
132,26,user132@mail.org,61087.0
133,19,user133@domain.com,73642.0
134,41,user134@example.com,-1.0
135,-5,user135@example.com,52967.0
136,13,bademail,52716.0
137,24,user137@example.com,99766.0
138,42,user138@example.com,61360.0
139,50,user139@example.com,69938.0
140,61,user140@company.io,86452.0
141,30,user141@service.net,67407.0
142,20,user142@domain.com,65884.0
143,39,user143@example.com,40576.0
144,18,user144@company.io,98017.0
145,46,user145@service.net,27803.0
146,10,user146@company.io,55664.0
147,-1,user147@service.net,83698.0
148,22,user148@domain.com,38387.0
149,31,user149@mail.org,76985.0
150,27,none@invalid,38738.0
151,-1,user151@example.com,77708.0
152,26,user152@service.net,110380.0
153,47,user153@service.net,62393.0
154,23,user154@company.io,75460.0
155,26,user155@domain.com,95414.0
156,50,user156@example.com,72399.0
157,20,,65993.0
158,36,,89922.0
159,18,user159@domain.com,40488.0
160,31,,54503.0
161,29,user161@mail.org,29931.0
162,25,user162@company.io,63476.0
163,30,user163@mail.org,36610.0
164,33,user164@service.net,49524.0
165,26,user165@example.com,43196.0
166,29,user166@service.net,37100.0
167,26,user167@mail.org,105615.0
168,32,user168@mail.org,47963.0
169,21,user169@service.net,63060.0
170,45,user170@service.net,68728.0
171,28,user171@domain.com,55622.0
172,36,bademail,63801.0
173,28,,110708.0
174,-5,user174@company.io,80809.0
175,31,user175@example.com,70584.0
176,18,user176@example.com,35757.0
177,47,user177@example.com,69677.0
178,25,user178@service.net,38415.0
179,31,none@invalid,74660.0
180,45,user180@domain.com,57289.0
181,45,bademail,81200.0
182,42,user182@company.io,35716.0
183,28,user183@company.io,64578.0
184,44,user184@mail.org,63584.0
185,200,user185@company.io,58302.0
186,32,user186@domain.com,61938.0
187,31,user187@service.net,26452.0
188,39,,32186.0
189,56,user189@example.com,56321.0
190,33,user190@company.io,100924.0
191,39,user191@domain.com,39311.0
192,38,user192@service.net,94359.0
193,200,user193@mail.org,51984.0
194,48,user194@service.net,36929.0
195,200,user195@service.net,66126.0
196,30,,81363.0
197,39,user197@service.net,44278.0
198,130,user198@mail.org,92487.0
199,200,user199@example.com,81763.0
200,42,user200@example.com,69752.0
201,44,user201@domain.com,66719.0
202,29,user202@service.net,72918.0
203,26,user203@domain.com,59039.0
204,39,user204@example.com,88022.0
205,59,user205@example.com,66243.0
206,34,user206@mail.org,69737.0
207,36,user207@mail.org,72017.0
208,22,user208@mail.org,-1.0
209,33,user209@service.net,93872.0
210,30,user210@example.com,52079.0
211,29,user211@domain.com,81616.0
212,200,user212@example.com,90273.0
213,40,user213@service.net,-1.0
214,130,user214@company.io,66131.0
215,-5,user215@example.com,76696.0
216,-1,user216@service.net,29428.0
217,59,user217@example.com,59415.0
218,31,user218@mail.org,62354.0
219,45,user219@mail.org,63805.0
220,-1,user220@company.io,104709.0
221,40,user221@domain.com,
222,34,user222@service.net,89577.0
223,200,user223@example.com,49601.0
224,39,user224@company.io,55100.0
225,64,user225@domain.com,48299.0
226,-5,user226@example.com,52940.0
227,47,user227@service.net,85249.0
228,-1,user228@domain.com,76548.0
229,34,user229@company.io,
230,44,user230@company.io,38192.0
231,41,user231@example.com,91426.0
232,26,,49481.0
233,46,none@invalid,69524.0
234,49,bademail,66746.0
235,37,user235@example.com,51014.0
236,37,user236@mail.org,92505.0
237,27,user237@company.io,103419.0
238,200,user238@company.io,85623.0
239,-1,user239@mail.org,41741.0
240,37,user240@mail.org,39265.0
241,35,user241@company.io,69700.0
242,24,user242@service.net,72712.0
243,55,user243@service.net,53053.0
244,20,user244@company.io,64705.0
245,40,user245@company.io,119156.0
246,34,user246@service.net,82503.0
247,37,user247@company.io,51864.0
248,32,user248@example.com,81775.0
249,130,user249@domain.com,72434.0
250,12,user250@example.com,
251,38,user251@service.net,69899.0
252,29,user252@service.net,59406.0
253,-1,user253@mail.org,57728.0
254,41,user254@mail.org,79137.0
255,-5,user255@domain.com,89516.0
256,35,user256@company.io,64432.0
257,26,user257@example.com,50869.0
258,33,bademail,73828.0
259,28,user259@company.io,99851.0
260,38,user260@company.io,80741.0
261,43,user261@example.com,-100.0
262,-1,user262@company.io,64046.0
263,29,user263@service.net,104683.0
264,31,user264@company.io,55377.0
265,34,user265@company.io,38972.0
266,-1,user266@domain.com,74696.0
267,-5,user267@mail.org,71359.0
268,36,user268@example.com,93674.0
269,31,user269@mail.org,33644.0
270,39,user270@service.net,80134.0
271,27,user271@mail.org,63715.0
272,42,user272@domain.com,65699.0
273,200,user273@example.com,84049.0
274,21,user274@company.io,69345.0
275,37,,98504.0
276,32,user276@service.net,92591.0
277,49,user277@service.net,66206.0
278,28,user278@domain.com,60399.0
279,35,user279@example.com,
280,41,user280@example.com,54894.0
281,49,user281@example.com,75941.0
282,50,user282@mail.org,84837.0
283,17,user283@example.com,55140.0
284,130,user284@mail.org,79291.0
285,23,user285@mail.org,75716.0
286,49,user286@domain.com,62627.0
287,17,user287@domain.com,67958.0
288,19,,37927.0
289,130,user289@company.io,25209.0
290,49,user290@service.net,84670.0
291,32,user291@company.io,-1.0
292,200,user292@company.io,82001.0
293,39,user293@domain.com,40945.0
294,25,user294@company.io,75133.0
295,31,user295@mail.org,56159.0
296,3,user296@company.io,-1.0
297,37,user297@example.com,58550.0
298,39,user298@service.net,84083.0
299,32,user299@mail.org,0.0
300,32,,91287.0
301,42,user301@service.net,61564.0
302,54,user302@mail.org,82451.0
303,36,user303@example.com,29029.0
304,46,user304@domain.com,
305,33,user305@service.net,92473.0
306,30,user306@example.com,66191.0
307,39,user307@domain.com,61423.0
308,59,user308@service.net,75693.0
309,32,user309@mail.org,53518.0
310,31,,90044.0
311,29,user311@example.com,112783.0
312,29,user312@company.io,96648.0
313,11,user313@service.net,69071.0
314,-1,user314@company.io,62445.0
315,49,user315@example.com,-1.0
316,44,user316@domain.com,56136.0
317,36,user317@service.net,
318,23,user318@example.com,66975.0
319,42,user319@example.com,63935.0
320,32,user320@domain.com,65915.0
321,44,bademail,71167.0
322,27,,85365.0
323,42,user323@company.io,43667.0
324,37,user324@mail.org,55245.0
325,38,user325@domain.com,48483.0
326,51,user326@example.com,36063.0
327,28,user327@mail.org,32616.0
328,13,user328@service.net,81443.0
329,50,user329@service.net,52469.0
330,48,user330@service.net,55269.0
331,35,user331@domain.com,80004.0
332,-1,user332@domain.com,64339.0
333,29,user333@company.io,78694.0
334,41,user334@mail.org,40182.0
335,17,user335@company.io,73014.0
336,35,user336@company.io,54215.0
337,51,bademail,60713.0
338,29,user338@service.net,32226.0
339,34,user339@mail.org,103913.0
340,40,,49840.0
341,30,user341@service.net,43587.0
342,36,user342@example.com,60433.0
343,11,user343@service.net,62686.0
344,24,user344@mail.org,88206.0
345,38,user345@service.net,70384.0
346,52,user346@example.com,54440.0
347,39,user347@mail.org,
348,26,user348@service.net,82464.0
349,16,user349@domain.com,50908.0
350,29,user350@example.com,92990.0
351,44,user351@domain.com,32558.0
352,25,user352@service.net,54882.0
353,42,user353@mail.org,44189.0
354,37,user354@domain.com,56822.0
355,31,user355@example.com,43468.0
356,-5,user356@mail.org,53891.0
357,31,user357@mail.org,55710.0
358,33,user358@example.com,36025.0
359,19,user359@service.net,67538.0
360,41,user360@company.io,
361,22,user361@example.com,-1.0
362,29,user362@mail.org,75333.0
363,30,user363@service.net,97742.0
364,14,user364@domain.com,51022.0
365,20,,57727.0
366,200,user366@service.net,97815.0
367,55,user367@domain.com,64874.0
368,41,,71941.0
369,20,user369@company.io,-100.0
370,37,user370@mail.org,56337.0
371,33,user371@example.com,38319.0
372,24,user372@domain.com,56816.0
373,49,none@invalid,70899.0
374,34,user374@mail.org,76722.0
375,40,user375@example.com,49994.0
376,41,user376@mail.org,84960.0
377,200,user377@mail.org,20735.0
378,-1,user378@company.io,58740.0
379,27,user379@domain.com,35711.0
380,30,user380@mail.org,61528.0
381,37,none@invalid,46904.0
382,35,user382@example.com,-100.0
383,46,user383@mail.org,88942.0
384,20,user384@service.net,66637.0
385,9,user385@mail.org,78770.0
386,34,,62801.0
387,45,bademail,52999.0
388,38,user388@company.io,68545.0
389,31,user389@company.io,51884.0
390,36,user390@company.io,107788.0
391,45,user391@service.net,52528.0
392,-1,user392@company.io,52197.0
393,-5,user393@mail.org,16920.0
394,-5,user394@mail.org,59249.0
395,29,none@invalid,28588.0
396,25,user396@company.io,41707.0
397,28,user397@example.com,-1.0
398,30,user398@company.io,
399,30,user399@company.io,64348.0
400,27,user400@service.net,59410.0
401,35,user401@company.io,47341.0
402,-1,user402@service.net,62901.0
403,22,user403@example.com,55179.0
404,23,bademail,22174.0
405,38,user405@service.net,42856.0
406,20,user406@service.net,96399.0
407,200,user407@domain.com,73646.0
408,64,user408@domain.com,35924.0
409,26,user409@example.com,80036.0
410,40,,72186.0
411,48,user411@service.net,37769.0
412,45,none@invalid,46527.0
413,37,user413@domain.com,-100.0
414,41,none@invalid,104399.0
415,33,user415@mail.org,-1.0
416,32,user416@service.net,94426.0
417,46,user417@mail.org,80291.0
418,34,user418@domain.com,-1.0
419,20,user419@example.com,64548.0
420,200,user420@mail.org,62141.0
421,13,user421@service.net,
422,47,user422@domain.com,-1.0
423,20,user423@example.com,56436.0
424,-1,user424@mail.org,57126.0
425,55,user425@domain.com,37525.0
426,46,user426@service.net,77708.0
427,33,user427@mail.org,73540.0
428,8,user428@company.io,29370.0
429,40,user429@example.com,44724.0
430,27,user430@service.net,39147.0
431,33,user431@domain.com,57109.0
432,20,user432@example.com,31708.0
433,47,user433@example.com,-1.0
434,49,user434@example.com,-1.0
435,51,,108955.0
436,41,user436@example.com,44367.0
437,21,user437@mail.org,71356.0
438,42,user438@example.com,57066.0
439,52,user439@service.net,45710.0
440,17,user440@service.net,-1.0
441,6,user441@domain.com,109621.0
442,200,user442@service.net,51051.0
443,29,user443@domain.com,57750.0
444,45,,45577.0
445,9,user445@mail.org,50866.0
446,15,user446@company.io,60130.0
447,50,user447@example.com,77199.0
448,24,user448@domain.com,52649.0
449,6,user449@mail.org,-1.0
450,27,user450@mail.org,47945.0
451,130,user451@domain.com,75817.0
452,16,user452@mail.org,67699.0
453,52,user453@service.net,87891.0
454,46,user454@service.net,107508.0
455,44,user455@mail.org,85360.0
456,28,bademail,64511.0
457,34,user457@mail.org,61609.0
458,37,user458@company.io,52747.0
459,33,user459@example.com,49760.0
460,200,user460@example.com,56958.0
461,27,user461@example.com,77773.0
462,27,none@invalid,79895.0
463,29,user463@domain.com,84550.0
464,22,user464@company.io,-100.0
465,25,user465@company.io,77262.0
466,200,user466@domain.com,62368.0
467,56,user467@example.com,27324.0
468,31,user468@example.com,95530.0
469,40,user469@example.com,45835.0
470,26,none@invalid,53391.0
471,28,,78158.0
472,18,user472@domain.com,69317.0
473,43,user473@mail.org,59358.0
474,37,,52405.0
475,37,user475@domain.com,41154.0
476,25,user476@domain.com,43135.0
477,34,user477@service.net,51571.0
478,34,user478@domain.com,47108.0
479,44,user479@service.net,83941.0
480,130,user480@mail.org,36400.0
481,200,user481@example.com,50789.0
482,37,user482@company.io,76907.0
483,51,,45830.0
484,28,user484@domain.com,48147.0
485,13,user485@mail.org,83336.0
486,28,user486@mail.org,43173.0
487,42,user487@service.net,79813.0
488,45,user488@service.net,36570.0
489,43,user489@company.io,40565.0
490,35,user490@example.com,87242.0
491,-1,user491@service.net,46820.0
492,46,user492@domain.com,82600.0
493,35,user493@example.com,69329.0
494,49,user494@service.net,44852.0
495,62,user495@domain.com,27465.0
496,14,user496@company.io,67155.0
497,22,user497@example.com,-1.0
498,27,user498@example.com,55599.0
499,41,user499@service.net,54841.0
500,36,user500@mail.org,60164.0
501,41,user501@domain.com,57864.0
502,42,user502@service.net,68161.0
503,200,user503@domain.com,85390.0
504,28,user504@company.io,98744.0
505,30,,93834.0
506,23,user506@example.com,38848.0
507,45,user507@mail.org,32411.0
508,48,none@invalid,108674.0
509,44,user509@example.com,76310.0
510,48,user510@mail.org,66419.0
511,38,user511@domain.com,41436.0
512,35,user512@example.com,64571.0
513,26,user513@mail.org,70489.0
514,48,user514@domain.com,80986.0
515,48,user515@domain.com,96773.0
516,53,user516@service.net,41503.0
517,55,user517@example.com,89079.0
518,29,user518@example.com,
519,37,user519@mail.org,-100.0
520,9,user520@mail.org,36131.0
521,40,user521@company.io,
522,38,user522@service.net,62360.0
523,30,user523@service.net,48867.0
524,43,user524@mail.org,
525,200,user525@domain.com,75702.0
526,42,user526@service.net,70660.0
527,41,user527@domain.com,76595.0
528,26,user528@example.com,102736.0
529,200,user529@domain.com,84764.0
530,35,user530@example.com,91411.0
531,39,user531@domain.com,70040.0
532,40,,54615.0
533,43,none@invalid,65719.0
534,-1,user534@example.com,59682.0
535,45,user535@domain.com,69147.0
536,21,user536@domain.com,65658.0
537,35,user537@domain.com,36753.0
538,23,user538@example.com,73507.0
539,200,user539@mail.org,70032.0
540,13,user540@example.com,66000.0
541,38,user541@domain.com,47751.0
542,46,,44781.0
543,49,bademail,63290.0
544,22,user544@domain.com,-100.0
545,200,user545@service.net,23052.0
546,45,user546@mail.org,48958.0
547,30,user547@mail.org,66079.0
548,29,user548@service.net,85719.0
549,51,user549@company.io,
550,32,user550@company.io,23324.0
551,33,user551@company.io,37951.0
552,28,user552@service.net,53588.0
553,39,user553@mail.org,61166.0
554,28,user554@company.io,87915.0
555,31,user555@company.io,105095.0
556,24,user556@service.net,75994.0
557,46,user557@company.io,-100.0
558,36,user558@company.io,50185.0
559,38,user559@domain.com,63573.0
560,31,user560@example.com,84987.0
561,-5,user561@service.net,57029.0
562,200,user562@example.com,27674.0
563,21,user563@example.com,34053.0
564,30,none@invalid,51848.0
565,42,user565@service.net,35619.0
566,26,none@invalid,66977.0
567,38,user567@mail.org,46124.0
568,13,user568@service.net,65041.0
569,200,user569@mail.org,61809.0
570,44,user570@service.net,71445.0
571,30,bademail,51924.0
572,130,user572@example.com,83057.0
573,38,user573@mail.org,46643.0
574,38,user574@service.net,63047.0
575,21,user575@example.com,108727.0
576,-5,user576@company.io,83511.0
577,-1,user577@service.net,47303.0
578,24,user578@mail.org,70314.0
579,-5,user579@domain.com,65508.0
580,130,user580@company.io,115474.0
581,16,user581@example.com,67422.0
582,41,user582@mail.org,109766.0
583,25,user583@example.com,87353.0
584,-5,user584@service.net,60475.0
585,24,,84578.0
586,33,user586@mail.org,36664.0
587,200,user587@mail.org,44237.0
588,19,user588@mail.org,43309.0
589,39,user589@domain.com,
590,52,user590@domain.com,
591,13,user591@service.net,80400.0
592,16,user592@domain.com,80780.0
593,18,user593@company.io,85651.0
594,24,user594@mail.org,54134.0
595,48,user595@mail.org,91124.0
596,49,,133627.0
597,61,user597@example.com,71483.0
598,8,user598@mail.org,99058.0
599,39,user599@company.io,59169.0
600,38,user600@domain.com,66048.0
601,-5,user601@mail.org,98051.0
602,23,user602@mail.org,58995.0
603,34,user603@mail.org,70373.0
604,27,user604@domain.com,58038.0
605,36,user605@service.net,56379.0
606,23,bademail,96819.0
607,56,user607@domain.com,79459.0
608,18,user608@company.io,55472.0
609,23,user609@mail.org,58643.0
610,48,,38593.0
611,28,user611@domain.com,95952.0
612,27,user612@mail.org,24483.0
613,28,user613@company.io,30253.0
614,33,user614@domain.com,62709.0
615,18,user615@service.net,49403.0
616,41,none@invalid,42850.0
617,50,,30736.0
618,-1,user618@service.net,56367.0
619,44,user619@mail.org,55330.0
620,42,user620@example.com,69978.0
621,34,user621@mail.org,77011.0
622,33,bademail,51946.0
623,23,user623@mail.org,51535.0
624,36,user624@example.com,68424.0
625,200,user625@domain.com,45262.0
626,56,user626@example.com,-1.0
627,32,user627@domain.com,54322.0
628,18,user628@example.com,81176.0
629,27,user629@domain.com,39427.0
630,24,user630@mail.org,15328.0
631,50,user631@domain.com,66178.0
632,-1,user632@company.io,56772.0
633,27,user633@mail.org,69873.0
634,30,user634@mail.org,45103.0
635,-5,user635@company.io,53951.0
636,41,none@invalid,64156.0
637,42,user637@example.com,68083.0
638,28,user638@company.io,-100.0
639,23,user639@mail.org,30995.0
640,43,user640@company.io,76592.0
641,34,user641@example.com,-1.0
642,55,user642@domain.com,73369.0
643,29,user643@mail.org,33418.0
644,13,user644@domain.com,57719.0
645,16,user645@domain.com,88783.0
646,29,user646@company.io,101587.0
647,-5,user647@example.com,64677.0
648,34,user648@company.io,65876.0
649,34,user649@company.io,57306.0
650,25,user650@service.net,64310.0
651,41,user651@mail.org,56095.0
652,33,user652@domain.com,43340.0
653,33,user653@domain.com,56541.0
654,44,user654@domain.com,30201.0
655,33,user655@mail.org,79915.0
656,32,bademail,63551.0
657,41,,63441.0
658,45,user658@service.net,76990.0
659,28,user659@mail.org,76595.0
660,10,user660@company.io,55417.0
661,49,user661@example.com,63216.0
662,16,user662@domain.com,108161.0
663,43,user663@domain.com,97137.0
664,29,user664@domain.com,62500.0
665,18,user665@mail.org,30964.0
666,33,,69765.0
667,43,user667@company.io,68037.0
668,47,user668@service.net,80674.0
669,200,user669@company.io,83113.0
670,200,user670@service.net,71543.0
671,47,user671@company.io,-100.0
672,130,user672@company.io,37659.0
673,200,user673@company.io,45706.0
674,16,user674@company.io,43088.0
675,41,user675@company.io,-1.0
676,15,user676@example.com,60934.0
677,47,user677@domain.com,45780.0
678,54,user678@mail.org,
679,10,user679@domain.com,66108.0
680,41,user680@domain.com,85683.0
681,14,user681@service.net,-1.0
682,42,user682@company.io,67464.0
683,31,user683@company.io,59966.0
684,35,user684@service.net,65616.0
685,31,user685@company.io,60435.0
686,27,user686@company.io,51185.0
687,34,user687@mail.org,71567.0
688,35,user688@mail.org,101756.0
689,33,,53604.0
690,49,user690@example.com,53687.0
691,40,user691@service.net,-100.0
692,30,user692@mail.org,66828.0
693,44,user693@example.com,29464.0
694,28,user694@domain.com,42538.0
695,31,user695@service.net,82111.0
696,-5,user696@company.io,72081.0
697,39,,21676.0
698,30,user698@service.net,83676.0
699,51,user699@mail.org,73511.0
700,53,user700@company.io,50874.0
701,-1,user701@service.net,73954.0
702,38,user702@mail.org,44179.0
703,21,user703@domain.com,77603.0
704,24,user704@mail.org,101953.0
705,40,user705@service.net,38459.0
706,49,user706@company.io,24058.0
707,3,user707@service.net,68090.0
708,10,user708@mail.org,39096.0
709,47,user709@service.net,87633.0
710,130,user710@example.com,56945.0
711,32,user711@example.com,81944.0
712,32,user712@company.io,51452.0
713,38,user713@service.net,42064.0
714,24,user714@mail.org,74361.0
715,32,user715@mail.org,51340.0
716,23,user716@service.net,61838.0
717,40,user717@service.net,122206.0
718,24,user718@mail.org,22167.0
719,41,user719@company.io,46220.0
720,52,user720@company.io,93305.0
721,39,user721@example.com,46140.0
722,35,user722@example.com,88728.0
723,200,user723@service.net,109634.0
724,38,user724@service.net,85510.0
725,17,user725@example.com,94437.0
726,31,user726@domain.com,42197.0
727,20,user727@service.net,48292.0
728,200,user728@company.io,43542.0
729,24,user729@mail.org,61803.0
730,34,user730@service.net,85593.0
731,34,user731@service.net,44359.0
732,29,user732@company.io,22225.0
733,32,user733@service.net,79856.0
734,39,none@invalid,65833.0
735,33,user735@example.com,64794.0
736,47,user736@example.com,89415.0
737,42,user737@example.com,72242.0
738,200,user738@mail.org,44351.0
739,20,user739@mail.org,86103.0
740,39,user740@mail.org,68329.0
741,-1,user741@company.io,95532.0
742,33,user742@domain.com,84169.0
743,130,user743@example.com,98209.0
744,16,user744@domain.com,107794.0
745,38,none@invalid,79248.0
746,54,user746@company.io,73688.0
747,23,user747@example.com,55182.0
748,40,user748@company.io,-1.0
749,5,user749@example.com,57425.0
750,32,user750@domain.com,-1.0
751,43,user751@service.net,52698.0
752,200,user752@domain.com,61380.0
753,16,user753@mail.org,114718.0
754,61,user754@company.io,92249.0
755,22,none@invalid,72762.0
756,26,user756@mail.org,85672.0
757,40,user757@example.com,71354.0
758,54,user758@service.net,97655.0
759,24,user759@company.io,
760,45,none@invalid,65723.0
761,64,user761@example.com,82085.0
762,39,user762@company.io,77971.0
763,31,bademail,62770.0
764,20,,59983.0
765,48,user765@mail.org,55529.0
766,130,user766@service.net,60562.0
767,32,user767@domain.com,76630.0
768,33,user768@example.com,54235.0
769,32,user769@example.com,87257.0
770,-1,user770@domain.com,40477.0
771,21,user771@domain.com,93935.0
772,46,user772@domain.com,30402.0
773,31,user773@company.io,62763.0
774,41,user774@example.com,62373.0
775,-1,user775@mail.org,89458.0
776,17,user776@service.net,49767.0
777,-1,user777@domain.com,71573.0
778,200,user778@mail.org,55716.0
779,200,user779@example.com,82773.0
780,33,user780@domain.com,50281.0
781,37,user781@mail.org,53424.0
782,22,user782@example.com,88943.0
783,-1,user783@domain.com,58552.0
784,34,user784@example.com,63351.0
785,20,user785@service.net,58096.0
786,22,user786@domain.com,96582.0
787,40,user787@example.com,58110.0
788,32,user788@mail.org,54415.0
789,-5,user789@mail.org,64548.0
790,41,user790@service.net,17252.0
791,39,user791@domain.com,73456.0
792,69,user792@service.net,
793,21,bademail,73162.0
794,15,user794@example.com,71848.0
795,8,user795@domain.com,54020.0
796,28,,45259.0
797,19,user797@service.net,91292.0
798,33,user798@service.net,84617.0
799,200,user799@example.com,113999.0
800,17,user800@domain.com,
801,38,user801@service.net,62515.0
802,-5,user802@service.net,70950.0
803,24,user803@service.net,52467.0
804,28,user804@example.com,
805,52,user805@service.net,86721.0
806,37,user806@service.net,59484.0
807,50,user807@company.io,101778.0
808,57,user808@domain.com,57290.0
809,41,user809@mail.org,39369.0
810,45,user810@example.com,78270.0
811,49,user811@company.io,24349.0
812,25,user812@service.net,26359.0
813,22,user813@company.io,33624.0
814,31,user814@mail.org,57663.0
815,38,user815@domain.com,46002.0
816,18,none@invalid,98358.0
817,20,user817@company.io,45905.0
818,42,user818@example.com,53617.0
819,27,user819@domain.com,55907.0
820,30,user820@mail.org,67456.0
821,47,user821@domain.com,41011.0
822,33,user822@domain.com,51497.0
823,34,user823@example.com,33504.0
824,63,user824@example.com,44867.0
825,32,user825@mail.org,47467.0
826,38,user826@example.com,70744.0
827,41,user827@domain.com,43375.0
828,26,user828@domain.com,71014.0
829,39,user829@company.io,-1.0
830,29,user830@domain.com,66938.0
831,27,user831@example.com,43100.0
832,15,user832@example.com,59618.0
833,21,user833@service.net,84801.0
834,50,user834@domain.com,70800.0
835,27,user835@domain.com,-1.0
836,40,user836@domain.com,-1.0
837,43,user837@mail.org,63082.0
838,50,user838@mail.org,93295.0
839,46,user839@company.io,85635.0
840,29,bademail,98270.0
841,-5,user841@domain.com,82728.0
842,40,user842@domain.com,31865.0
843,35,user843@service.net,40043.0
844,38,,78526.0
845,40,user845@company.io,73537.0
846,38,user846@company.io,79306.0
847,4,user847@service.net,59240.0
848,46,user848@example.com,56781.0
849,200,user849@service.net,54827.0
850,59,none@invalid,62859.0
851,62,,61385.0
852,-1,user852@service.net,107925.0
853,26,user853@example.com,72106.0
854,40,user854@domain.com,64380.0
855,41,user855@company.io,-100.0
856,17,user856@domain.com,-100.0
857,18,user857@domain.com,69746.0
858,42,user858@company.io,63039.0
859,36,user859@company.io,79078.0
860,43,user860@service.net,90960.0
861,29,user861@example.com,80062.0
862,130,user862@domain.com,92450.0
863,29,user863@company.io,83919.0
864,30,bademail,48617.0
865,48,user865@company.io,79899.0
866,24,user866@company.io,85173.0
867,24,,88674.0
868,43,user868@mail.org,69094.0
869,39,user869@company.io,37795.0
870,34,user870@example.com,-100.0
871,33,user871@service.net,-1.0
872,25,user872@service.net,41706.0
873,41,user873@company.io,-1.0
874,34,user874@example.com,91262.0
875,34,,69431.0
876,27,,84019.0
877,49,user877@mail.org,95389.0
878,38,user878@domain.com,-1.0
879,54,user879@mail.org,58519.0
880,26,user880@mail.org,41491.0
